Module,Submodule,Group,Scenario,Steps,ExpectedResult,Priority
Report,Admin Report,Migration Backup Report,Verify Admin Report shows Migration summary for all users,"1. Log in as Admin
2. Go to Report > Admin Report
3. Select Migration Backup Report",Migration summary shown for all users and sessions,High
Report,Admin Report,Migration Backup Report,Verify Admin Report shows Backup summary for all users,"1. Open Admin Report > Migration Backup Report",Backup summary listed with source type target type and status,High
Report,Admin Report,Migration Backup Report,Verify Admin Report filters by date range,"1. Open Migration Backup Report
2. Apply date range filter",Only records within selected range displayed,High
Report,Admin Report,Migration Backup Report,Verify Admin Report filters by user,"1. Open Migration Backup Report
2. Select specific user from filter",Only that user's records shown,High
Report,Admin Report,Migration Backup Report,Verify Admin Report filters by source type (BIM 360 / Egnyte),"1. Apply source filter = BIM 360",Only BIM 360 source records shown,High
Report,Admin Report,Migration Backup Report,Verify Admin Report filters by target type (Amazon S3),"1. Apply target filter = Amazon S3",Only Amazon S3 target records shown,High
Report,Admin Report,Migration Backup Report,Verify Admin Report filters by target type (File System),"1. Apply target filter = File System",Only File System target records shown,High
Report,Admin Report,Migration Backup Report,Verify Admin Report filters by target type (S3 Compatible),"1. Apply target filter = S3 Compatible",Only S3 Compatible target records shown,High
Report,Admin Report,Migration Backup Report,Verify Admin Report filters by target type (Azure Blob Storage),"1. Apply target filter = Azure Blob Storage",Only Azure Blob Storage target records shown,High
Report,Admin Report,Migration Backup Report,Verify Admin Report shows correct success and failure counts,"1. Open Migration Backup Report",Success count and failure count match actual run data,High
Report,Admin Report,Migration Backup Report,Verify Admin Report shows file count and data size per run,"1. Open Migration Backup Report
2. Check a specific run row",File count and total size shown accurately,Medium
Report,Admin Report,Migration Backup Report,Verify Admin Report shows duration of each migration/backup run,"1. Open report
2. Check duration column",Duration shown for each completed run,Medium
Report,Admin Report,Migration Backup Report,Verify Admin Report can be exported to Excel,"1. Open Migration Backup Report
2. Click Export > Excel",Excel file downloaded with full report data,High
Report,Admin Report,Migration Backup Report,Verify Admin Report can be exported to CSV,"1. Open Migration Backup Report
2. Click Export > CSV",CSV file downloaded with full report data,High
Report,Admin Report,Migration Backup Report,Verify BIM 360 → Amazon S3 backup report record correct,"1. Complete a BIM 360 → Amazon S3 backup
2. Open Admin Report",Record appears with source=BIM 360 target=Amazon S3,High
Report,Admin Report,Migration Backup Report,Verify BIM 360 → File System backup report record correct,"1. Complete a BIM 360 → File System backup
2. Open Admin Report",Record appears with source=BIM 360 target=File System,High
Report,Admin Report,Migration Backup Report,Verify BIM 360 → S3 Compatible backup report record correct,"1. Complete a BIM 360 → S3 Compatible backup
2. Open Admin Report",Record appears with source=BIM 360 target=S3 Compatible,High
Report,Admin Report,Migration Backup Report,Verify BIM 360 → Azure Blob Storage backup report record correct,"1. Complete a BIM 360 → Azure Blob backup
2. Open Admin Report",Record appears with source=BIM 360 target=Azure Blob Storage,High
Report,Admin Report,Migration Backup Report,Verify Egnyte → Amazon S3 backup report record correct,"1. Complete an Egnyte → Amazon S3 backup
2. Open Admin Report",Record appears with source=Egnyte target=Amazon S3,High
Report,Admin Report,Migration Backup Report,Verify Egnyte → File System backup report record correct,"1. Complete an Egnyte → File System backup
2. Open Admin Report",Record appears with source=Egnyte target=File System,High
Report,Admin Report,Migration Backup Report,Verify Egnyte → S3 Compatible backup report record correct,"1. Complete an Egnyte → S3 Compatible backup
2. Open Admin Report",Record appears with source=Egnyte target=S3 Compatible,High
Report,Admin Report,Migration Backup Report,Verify Egnyte → Azure Blob Storage backup report record correct,"1. Complete an Egnyte → Azure Blob backup
2. Open Admin Report",Record appears with source=Egnyte target=Azure Blob Storage,High
Report,Admin Report,Downloaded Report Details,Verify Admin can view detailed downloaded report for a specific run,"1. Open Admin Report > Downloaded Report Details
2. Select a completed run",Detailed report opens with all file-level results,High
Report,Admin Report,Downloaded Report Details,Verify downloaded report details show per-file status (success/failed),"1. Open a detailed report",Each file row shows transfer status,High
Report,Admin Report,Downloaded Report Details,Verify downloaded report details show error reason for failed files,"1. Open a detailed report with failures",Failed file rows include error message or reason,High
Report,Admin Report,Downloaded Report Details,Verify downloaded report details include file path and size,"1. Open detailed report",File path and size columns populated for each entry,Medium
Report,Admin Report,Downloaded Report Details,Verify downloaded report details can be filtered by status (success/failed),"1. Open detailed report
2. Apply status filter",Only matching rows shown,Medium
Report,Admin Report,Downloaded Report Details,Verify detailed report can be exported to Excel,"1. Open detailed report
2. Click Export > Excel",Excel file with file-level detail downloaded,High
Report,Admin Report,Downloaded Report Details,Verify detailed report shows total files processed and total size,"1. Check summary row at bottom of detailed report",Totals row shows file count and cumulative size,Medium
Report,Admin Report,Downloaded Report Details,Verify detailed report shows run start time and end time,"1. Open detailed report header",Start and end timestamps shown,Medium
Report,Admin Report,Downloaded Report Details,Verify navigation between summary and detail views works,"1. Click a run row in summary to open detail
2. Click Back",Returns to summary view without data loss,Medium
