Module,Submodule,Scenario,Steps,ExpectedResult,Priority
Report Testing,BIM360 to Azure Blob,Single Project Backup - Verify Report,"1. Run Single Project Backup BIM360 to Azure Blob
2. Verify download from Cloudsfer UI
3. Verify report email received
4. Download CSV from email URL
5. Verify report name and all details
6. Compare old and new report
7. Verify version numbers
8. Verify URL expires in 72 hours
9. Verify file metadata",Download works. Email received. CSV accurate. Metadata matches. URL expires in 72 hours.,High
Report Testing,BIM360 to Azure Blob,Multiple Projects 5 - Verify Report,"1. Run backup for 5 projects BIM360 to Azure Blob
2. Verify download
3. Verify report email
4. Verify CSV details",All 5 projects in report. Email received. CSV correct.,High
Report Testing,BIM360 to Azure Blob,Zip Files - Verify Report,"1. Run backup of zip files BIM360 to Azure Blob
2. Verify download
3. Verify report email
4. Verify CSV details",Zip files shown correctly. Metadata accurate.,Medium
Report Testing,BIM360 to Azure Blob,Deep Folder Hierarchy - Verify Report,"1. Run backup with deep folder structure BIM360 to Azure Blob
2. Verify download
3. Verify report email
4. Verify folder hierarchy in CSV",Deep folder structure reflected correctly. Metadata accurate.,High
Report Testing,BIM360 to Azure Blob,Large Size Files - Verify Report,"1. Run backup of large files 1GB 5GB 10GB BIM360 to Azure Blob
2. Verify download
3. Verify report email
4. Verify large size report
5. Verify file size in CSV",Large file sizes shown accurately. Large report downloads successfully.,High
Report Testing,BIM360 to Azure Blob,Auto Backup - Verify Report,"1. Configure Auto Backup BIM360 to Azure Blob
2. Verify download
3. Verify report email
4. Verify CSV details",Auto backup report generated. Email received. Details correct.,High
Report Testing,BIM360 to Box,Multiple Projects 5 - Verify Report,"1. Run backup for 5 projects BIM360 to Box
2. Verify download
3. Verify report email
4. Verify CSV details",All 5 projects in report. CSV accurate.,High
Report Testing,BIM360 to Box,Folders Characters Too Long - Verify Report,"1. Run migration with long folder names BIM360 to Box
2. Verify status shows Completed with error
3. Verify report email
4. Check CSV reflects error",Report shows error for long folder names. Status reflects failure.,Medium
Report Testing,BIM360 to Egnyte,Multiple Projects 10 - Verify Report,"1. Run backup for 10 projects BIM360 to Egnyte
2. Verify download
3. Verify report email
4. Verify CSV details",All 10 projects in report. Email received. CSV accurate.,High
Report Testing,BIM360 to Egnyte,Nested Folders - Verify Report,"1. Run backup with nested folders BIM360 to Egnyte
2. Verify download
3. Verify report email
4. Verify nested structure in CSV",Nested folders shown correctly. Metadata accurate.,Medium
Report Testing,BIM360 to S3 Compatible,Deep Folder Hierarchy - Verify Report,"1. Run backup with deep hierarchy BIM360 to S3 Compatible
2. Verify download
3. Verify report email
4. Verify CSV details",Deep folder hierarchy reflected in report. Metadata accurate.,High
Report Testing,BIM360 to Gdrive,Huge Files - Verify Report,"1. Run backup of huge files BIM360 to Gdrive
2. Verify download
3. Verify report email
4. Verify large size report
5. Verify file sizes in CSV",Huge files shown correctly. Large report downloads successfully.,High
Report Testing,BIM360 to Gdrive,Files Characters Too Long - Verify Report,"1. Run migration with long file names BIM360 to Gdrive
2. Verify migration status
3. Verify report email
4. Check CSV reflects error",Report shows error for long file names. Status reflects failure.,Medium
